"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "Markdown", "YAML", "JavaScript", "CSS", "Python", "Docker", "pip requirements", "HTML", "comment", "blank", "total"
"/Users/wjshewitt/prospect/src/app/api/uk-geoai/flood/local-flood.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/wjshewitt/prospect/src/app/api/uk-geoai/flood/route.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 76
"/Users/wjshewitt/prospect/src/app/dev/demographics-test/page.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 81
"/Users/wjshewitt/prospect/src/app/dev/location-preview/page.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 95
"/Users/wjshewitt/prospect/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1118, 0, 0, 0, 0, 32, 171, 1321
"/Users/wjshewitt/prospect/src/app/layout.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/wjshewitt/prospect/src/app/login/page.tsx", "TypeScript JSX", 0, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 59, 940
"/Users/wjshewitt/prospect/src/app/page.tsx", "TypeScript JSX", 0, 769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 35, 821
"/Users/wjshewitt/prospect/src/app/privacy/page.tsx", "TypeScript JSX", 0, 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 397
"/Users/wjshewitt/prospect/src/app/signup/page.tsx", "TypeScript JSX", 0, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 59, 940
"/Users/wjshewitt/prospect/src/app/terms/page.tsx", "TypeScript JSX", 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 290
"/Users/wjshewitt/prospect/src/app/vision/page.tsx", "TypeScript JSX", 0, 898, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 75, 1000
"/Users/wjshewitt/prospect/src/app/welcome/page.tsx", "TypeScript JSX", 0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 367
"/Users/wjshewitt/prospect/src/components/ai/building-placement-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/wjshewitt/prospect/src/components/annotation/annotation-editor.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/wjshewitt/prospect/src/components/annotation/annotation-overlay.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 117
"/Users/wjshewitt/prospect/src/components/annotation/annotation-tool.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 163
"/Users/wjshewitt/prospect/src/components/assessment/site-assessment-dialog.tsx", "TypeScript JSX", 0, 1062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 44, 1130
"/Users/wjshewitt/prospect/src/components/auth/firebase-auth-provider.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 45
"/Users/wjshewitt/prospect/src/components/dev-viz/three-d-modal.tsx", "TypeScript JSX", 0, 581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 64, 659
"/Users/wjshewitt/prospect/src/components/layout/header.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 161
"/Users/wjshewitt/prospect/src/components/map/address-search-box.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 77
"/Users/wjshewitt/prospect/src/components/map/buffer-dialog.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 83
"/Users/wjshewitt/prospect/src/components/map/layer-control.tsx", "TypeScript JSX", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 183
"/Users/wjshewitt/prospect/src/components/map/local-authority-layer.tsx", "TypeScript JSX", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 37, 260
"/Users/wjshewitt/prospect/src/components/map/map-canvas.tsx", "TypeScript JSX", 0, 1393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 161, 1616
